ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
4987,요즘 급상승 중인 여자 모델로서 귀엽고 사랑스러운 느낌으로 겨울 분위기와 제품 특징을 잘 녹여내고 있습니다.,감성 소구,긍정적,모델|겨울 분위기|제품 특징,,
4988,보통의 광고 영상과 다르지 않음,광고 전반,평범함,,평범함|차별성 부족,
4989,모델이 맘에 들어요,모델,호감도 높음,모델,,
4990,아이더 스테롤 다운,없음/모름,,,,
4991,장원영,Not enough data,Not enough data,,,
4992,구스다운,제품/브랜드,기능성 강조,구스다운,,
4993,추위가 없어보여 좋다,기능성 강조,보온성,추위,없음,
4994,흥미를 못느낌,광고 전반,기억에 남지 않음,,흥미,
4995,장원영,Not enough data,Not enough data,,,
4996,패딩이 예쁘다,제품/브랜드,디자인,패딩|예쁨,,
4997,이유 없음,없음/모름,,,,
4998,이유 없음,없음/모름,,,,
4999,특이점이 없다,광고 전반,평범함,없음,특이점,
5000,모델이 예쁘다,모델,호감도 높음,예쁨,,
5001,마음에 듬,전반적 평가,긍정적,마음에 듬,,
5002,디자인이 날씬한 디자인으로 나와서 구매하고싶다는 느낌이 든다.,구매 의도,긍정적,디자인|날씬함|구매 욕구,,
5003,광고모델과 어울림,모델,긍정적 평가,어울림,,
5004,전신으로,없음/모름,,,,
5005,수지,Not enough data,Not enough data,,,
5006,카피만큼 시선을 끌 정도는 아닌데.,광고 임팩트,약한 임팩트,카피,시선,
5007,너무 따뜻해 보임,감성 소구,따뜻함,따뜻함,,
5008,호기심이 떨어짐,광고 임팩트,약한 임팩트,없음,호기심,
5009,광고 느낌그대로 젊다,광고 전반,신선함,젊음,,
5010,겨울 옷으로 좀 더 홍보효과를 내야되는데 좀 부족한 것 같다,광고 전반,부정적,없음,홍보효과 부족|겨울옷 홍보 부족,
5011,배경 이나 음악이 조화롭다,비주얼,전체적 분위기,배경|음악|조화,,
5012,광고모델,모델,호감도 높음,,,
5013,문구,Not enough data,Not enough data,,,
5014,모델,Not enough data,Not enough data,,,
5015,따뜻해 보임,감성 소구,따뜻함,따뜻함,,
5016,수지가 예쁘다는 것만 기억이 남,광고 임팩트,약한 임팩트,수지,,
5017,특별하게 와 닿는게 없어서,광고 전반,기억에 남지 않음,,특별함 부재,
5018,얇지만 방한이 강화된 제품,기능성 강조,보온성,방한|제품,얇음,
5019,수지가 예쁘다,모델,호감도 높음,수지|예쁨,,
5020,의류가 눈에 확 들어오지 않음,광고 임팩트,약한 임팩트,의류,눈에 들어오지 않음,
5021,세련되 보임,감성 소구,고급스러움,세련됨,,
5022,옷이 예뻐서,제품/브랜드,디자인,옷|예쁨,,
5023,옷이 예뻐보이지 않고 광고가 식상하다,광고 전반,평범함,없음,식상함|옷,
5024,모델,Not enough data,Not enough data,,,
5025,수지가 제품과 잘어울린다,모델,호감도 높음,수지|제품 어울림,,
5026,수지가 별로임,모델,호감도 낮음,,수지,
5027,따뜻한,Not enough data,Not enough data,,,
5028,모델이 마음에 든다,모델,호감도 높음,모델,,
5029,세련된 느낌이다,감성 소구,고급스러움,세련된 느낌,,
5030,모델,Not enough data,Not enough data,,,
5031,모델이 잘 어울림,모델,호감도 높음,모델|어울림,,
5032,K2 평소에 좋아하는 아웃도어이고 수지가 입은패딩 너무 예쁘고 수지도 예쁘고 맘에든다 사고 싶어진다,감성 소구,긍정적,수지|패딩|아웃도어,,
5033,관심이 갈 듯 말 듯 애매한 느낌의 광고임,광고 전반,평범함,없음,애매한 느낌,
5034,평범한 내용으로 기억에 잘 남지 않을 것 같다,광고 전반,기억에 남지 않음,없음,평범한 내용|기억에 남지 않음,
5035,모델이 잘 어울림,모델,호감도 높음,모델|어울림,,
5036,특색이 없음,광고 전반,평범함,없음,특색,
5037,수지가 너무 예뻐서 집중해서 보게 된다,모델,호감도 높음,수지|집중,,
5038,그저 그렇다,전반적 평가,중립적,,그저 그렇다,
5039,핏이 좋고 보온력이 좋은 거 같아서,제품/브랜드,기능성 강조,핏|보온력,,
5040,이유 없음,없음/모름,,,,
5041,다운의 레벨업,메시지/카피,독창성,레벨업,,
5042,씬에어인데도 따뜻할듯,기능성 강조,보온성,씬에어|따뜻함,,
5043,세련되고 도시적인 느낌이 마음에 든다.,감성 소구,고급스러움,세련됨|도시적 느낌,,
5044,식상함,Not enough data,Not enough data,,,
5045,다운의 레벨 엎-카피가 좋다.,메시지/카피,긍정적 평가,카피|레벨 엎,,
5046,타 광고와 별 다를 게 없음,광고 전반,평범함,,타 광고|차별성 부족,
5047,수지 걷는게 웃김,모델,호감도 낮음,,웃김,
5048,연예인 등장 그냥 옷 광고,광고 구성,부정적 평가,연예인,옷 광고,
5049,전달력이 애매함,메시지/카피,이해도 낮음,없음,전달력,
5050,제품특징이 잘 드러난다,제품/브랜드,기능성 강조,제품특징,,
5051,시선을 끄는 따뜻함,감성 소구,따뜻함,시선|따뜻함,,
5052,모델,Not enough data,Not enough data,,,
5053,포근한 생각이 든다,감성 소구,따뜻함,포근함,,
5054,활동적여 보인다,광고 전반,신선함,활동성,,
5055,모델과 잘 어울린다,모델,호감도 높음,모델|어울림,,
5056,수지라서 볼만했다,모델,호감도 높음,수지,,
5057,입어야 되는 연령대를 가늠 못하겠다,타겟 적합성,부정적,없음,연령대 가늠 불가,
5058,그냥 보통의 광고 같아서,전반적 평가,중립적,,보통,
5059,모델이 아름답게 워킹하는 모습과 활동적인 분위기가 잘 어울린다,모델,호감도 높음,워킹|활동적 분위기,,
5060,이유 없음,없음/모름,,,,
5061,너무 상투적인 내용전개가 특색이 없어 보였다,광고 전반,평범함,없음,상투적 내용|특색 부족,
5062,광고모델이 좋다,모델,호감도 높음,광고모델,,
5063,사랑스럽고 시원합니다,감성 소구,긍정적,사랑스러움|시원함,,
5064,광고 배우가 돋보인다.,모델,호감도 높음,광고 배우|돋보임,,
5065,전반적인 분위기,비주얼,전체적 분위기,분위기,,
5066,수지 모델이 이쁘고 마음에 든다.,모델,호감도 높음,수지|모델,,
5067,따뜻하다,감성 소구,따뜻함,따뜻함,,
5068,수지가 k2와 잘 어울리고 광고가 세련됨,감성 소구,고급스러움,수지|k2|광고,,
5069,배우와 잘 어울림.,모델,호감도 높음,배우|어울림,,
5070,전신 씬다운,제품/브랜드,디자인,전신|씬다운,,
5071,모델과 잘 어울림,모델,호감도 높음,모델|어울림,,
5072,수지가 나와 좋음.,모델,호감도 높음,수지,,
5073,광고에 적용된 마케팅 방법에 차별성이 없다,창의성,부정적,없음,차별성,
5074,마음애 들어서,감성 소구,긍정적,마음,,
5075,씬에어 레벨업,메시지/카피,이해도 높음,,,
5076,평범함,Not enough data,Not enough data,,,
5077,가볍다.,기능성 강조,긍정적 평가,가벼움,,
5078,이유 없음,없음/모름,,,,
5079,수지가 광고해서,모델,호감도 높음,수지,,
5080,모두의 시선을 끈다,광고 임팩트,강한 임팩트,시선|주목도,,
5081,수지,Not enough data,Not enough data,,,
5082,앱솔루트,없음/모름,,앱솔루트,,
5083,옷이 가벼워졌다는 걸 알기 쉽게 만들었다,기능성 강조,긍정적 평가,가벼움|이해도,,
5084,흥미롭다,광고 전반,신선함,흥미,,
5085,배경,Not enough data,Not enough data,,,
5086,문구,Not enough data,Not enough data,,,
5087,배경음악이 좋다.,음악/사운드,긍정적 평가,배경음악,,
5088,상품 홍보보다 모델이 더 돋보인다,광고 구성,부정적 평가,모델,상품 홍보,
5089,내려보는 느낌,광고 전반,평범함,,내려보는 느낌,
5090,수지 너무 예쁨,모델,호감도 높음,수지|예쁨,,
5091,내용이 믿음이 가서,신뢰성,긍정적 평가,믿음,,
5092,따뜻하게 입은 것 같진 않지만 수지가 말하는 것처럼 시선이 사로잡혔음.,광고 임팩트,강한 임팩트,시선|수지,따뜻함,
5093,배경이 깔끔해서 좋다,시각적 요소,긍정적 평가,배경|깔끔함,,
5094,모델이 잘 어울림,모델,호감도 높음,모델|어울림,,
5095,수지가 최고,모델,호감도 높음,수지,,
5096,기성복,Not enough data,Not enough data,,,
5097,다운 제품에 대한 내부 구성을 간략하게나마 볼 수 있어서 약간의 신뢰가 간다,신뢰성,긍정적 평가,내부 구성|신뢰,,
5098,따뜻해보인다,감성 소구,따뜻함,따뜻함,,
5099,모델만 보인다,모델,호감도 높음,모델,,
5100,이유 없음,없음/모름,,,,
5101,다운의 레벨업,메시지/카피,독창성,레벨업,,
5102,다른 아웃도어 브랜드 광고들과 차별성이 없어보여서,광고 전반,평범함,없음,차별성,
5103,수지 자체가 압도하는 분위기와 자유로움이 너무 좋다,모델,호감도 높음,수지|압도적 분위기|자유로움,,
5104,수지가 광고한다,모델,인지도,,수지,
5105,모델의 어여쁨이 입고 싶게 하는 느낌을 갖게 한다. 도시에서 입게 되는 아우터의 편리함에 스타일까지 갖추었다는 것도.,감성 소구,긍정적,모델|어여쁨|편리함|스타일,,
5106,제품의 장점이 잘 설명되어있다,기능성 강조,긍정적 평가,장점|설명,,
5107,경쾌하다,음악/사운드,긍정적 평가,경쾌함,,
5108,모델,Not enough data,Not enough data,,,
5109,앱솔루트,없음/모름,,앱솔루트,,
5110,배수지,Not enough data,Not enough data,,,
5111,톡톡튀는 음악과 모델의 눈빛이 어울린다,광고 구성,긍정적 평가,음악|눈빛,,
5112,다운자켓의 이미지가 잘 표현된거 같아서,제품/브랜드,긍정적 평가,이미지|표현,,
5113,레벨업 되어서 어떻다는건지 모르겠다,메시지/카피,이해도 낮음,,이해 부족|모호함,
5114,모델이 맘에 든다,모델,호감도 높음,모델,,
5115,수지 때문에,모델,호감도 높음,수지,,
5116,수지가 좋다,모델,호감도 높음,수지,,
5117,수지님이 잘 어울린다,모델,호감도 높음,수지|어울림,,
5118,광고장면이 기억에 남는다,광고 임팩트,강한 임팩트,광고장면|기억,,
5119,모델,Not enough data,Not enough data,,,
5120,제품에 대한 필요성을 잘 보여줘서,광고 전반,긍정적,필요성|제품,,
5121,모델도 맘에 들고 의류도 예쁨,모델,호감도 높음,모델|의류,,
5122,모델 워킹이 식상하다,모델,호감도 낮음,없음,워킹|식상함,
5123,모델과 잘 어울린다,모델,호감도 높음,모델|어울림,,
5124,따뜻해보인다,감성 소구,따뜻함,따뜻함,,
5125,다운의 레벨업,메시지/카피,독창성,레벨업,,
5126,모델이 마음에 든다,모델,호감도 높음,모델,,
5127,좋아하는 모델이다,모델,호감도 높음,좋아하는 모델,,
5128,제품의 특성과 계절이 잘 어울린다,제품/브랜드,기능성 강조,제품 특성|계절 조화,,
5129,앱솔루트 씬에어,없음/모름,,,,
5130,옷의 기능을 알려줘서 더 신뢰감이 상승했고 모델이 예뻐서 호감이 간다,기능성 강조,긍정적 평가,기능|신뢰감,,
5131,배경이 좋다,비주얼,배경,배경,,
5132,평범했다,광고 전반,평범함,,평범함,
5133,역시 수지가 모델이면 뜬다는 공식이 있다,모델,호감도 높음,수지|공식,,
5134,특별한 것 없다,광고 전반,평범함,없음,특별한 것,
5135,음악과 거리풍경등 조화로움,감성 소구,긍정적,음악|거리풍경|조화로움,,
5136,모델 문구 카피 쉽게 머리에 떠오름,메시지/카피,이해도 높음,모델|문구|카피,,
5137,모름,Not enough data,Not enough data,,,
5138,광고모델인 수지팬이다,모델,호감도 높음,수지팬,,
5139,광고모델이 전혀 고급스런 이미지가 안 나서 어색하고 어울리지 않는다,모델,호감도 낮음,없음,고급스러운 이미지|어색함|어울리지 않음,
5140,특별히 생각나는 광고 장면이 없음. 광고 모델만 생각이 남,광고 전반,기억에 남지 않음,모델,특별한 장면,
5141,역동적임,광고 전반,신선함,역동성,,
5142,핑크색 패딩,비주얼,색감,핑크색,,
5143,이유 없음,없음/모름,,,,
5144,장소,Not enough data,Not enough data,,,
5145,모델만 부각된다,광고 구성,부정적 평가,,모델,
5146,패딩 광고가 뻔하다.,창의성,부정적,없음,뻔함|패딩 광고,
5147,배경음이 눈길을 가게 만든다,음악/사운드,긍정적 평가,배경음|눈길,,
5148,좋아보임,전반적 평가,긍정적,좋아보임,,
5149,모델이 브랜드와 잘 어울리고 호감이 간다,모델,호감도 높음,모델|브랜드 어울림|호감,,
5150,그냥 그렇다,전반적 평가,중립적,,그냥,
5151,이유 없음,없음/모름,,,,
5152,이해도 잘되고 옷도 한눈에 쏙들어온다,메시지/카피,이해도 높음,이해도|옷,,
5153,광고모델이 마음에 든다,모델,호감도 높음,광고모델,,
5154,이유 없음,없음/모름,,,,
5155,후드의 퍼와 긴 기장 허리띠가 촌스러워서 싫다. 아웃도어에 적당한 디자인이 아니라서 싫다. 모델과 아웃도어 이미지 맞지 않아서 싫다.,제품/브랜드,부정적 평가,없음,후드 퍼|긴 기장|허리띠|디자인|모델,
5156,모델이 수지라서,모델,호감도 높음,수지,,
5157,광고 내용 및 모델이 잘어울린다,광고 전반,긍정적,광고 내용|모델,,
5158,배경이 괜찮은 것 같다,비주얼,배경,배경,,
5159,모델이 맘에 듭니다,모델,호감도 높음,모델,,
5160,내복에 패딩을 입고 나온건가요 충격적이네요,광고 구성,부정적 평가,,내복|패딩|충격,
5161,그냥 평범한 것 같다.,광고 전반,평범함,,평범,
5162,K2광고라는 것을 바로 알 수 있으나 광고모델은 잘 어울리지 않는 것 같다,모델,호감도 낮음,K2광고,광고모델,
5163,광고 모델이 맘에 듦,모델,호감도 높음,광고 모델,,
5164,광고가 신선해요,광고 전반,신선함,신선함,,
5165,모델이 마음에 듬,모델,호감도 높음,모델,,
5166,흔히 생각할 수 있는 멘트,광고 전반,평범함,,흔한 멘트,
